axis,start_lat,start_lon,end_lat,end_lon,category
Galactic_Womb,55.85622,-3.15899,49.80715,86.56732,prophecy
Aldebaran_Messenger,55.85622,-3.15899,-47.0032,-174.2097,prophecy
Sirius_Grail,55.85622,-3.15899,-44.14378,176.84101,prophecy
Fertility_Underworld,49.80715,86.56732,-49.8,-93.4,prophecy
Nodal_Grail_Weave,55.85622,-3.15899,16.0,-55.0,prophecy
Erik_Sun,22.412667302590705,-72.04087125717967,-22.412667302590705,107.95912874282033,other
Erik_Moon,-17.31337807138029,134.02862289606998,17.31337807138029,-45.971377103930024,other
Erik_Mars,-1.4226002871363037,176.7162682410792,1.4226002871363037,-3.283731758920794,other
Erik_Saturn,-6.1642331319226376,165.57503963012118,6.1642331319226376,-14.424960369878818,other
Erik_Uranus,-20.593012866985077,119.92904826972335,20.593012866985077,-60.07095173027665,other
Erik_Pluto,-9.444266454838585,157.43858891327682,9.444266454838585,-22.561411086723183,other
Erik_Chiron,18.81443412704667,-51.79962646113967,-18.81443412704667,128.20037353886033,other
Tiff_Sun,-10.63529641047479,154.33396526404283,10.63529641047479,-25.66603473595717,other
Tiff_Moon,-19.95650721746038,56.87951046592201,19.95650721746038,-123.12048953407799,other
Tiff_Mercury,-16.486721102699136,136.94957511047795,16.486721102699136,-43.05042488952205,other
Tiff_Venus,-2.2470151867779893,174.80744449303762,2.2470151867779893,-5.192555506962378,other
Tiff_Mars,1.6289427871407267,-176.23909359912852,-1.6289427871407267,3.7609064008714768,other
Tiff_Jupiter,-18.360418306354877,49.95226627576619,18.360418306354877,-130.0477337242338,other
Tiff_Saturn,-19.464467514532302,125.3955168447668,19.464467514532302,-54.6044831552332,other
Tiff_Uranus,-22.638771245762417,105.85744688865952,22.638771245762417,-74.14255311134048,other
Tiff_Neptune,-23.43334023204342,88.633075161384,23.43334023204342,-91.366924838616,other
Tiff_Pluto,-12.985655076554533,147.86645051369464,12.985655076554533,-32.133549486305355,other
Tiff_Node,14.583059934883979,-36.87534229827804,-14.583059934883979,143.12465770172196,other
Tiff_Lilith,16.52688611840546,-43.18848909899344,-16.52688611840546,136.81151090100656,other
Tiff_Chiron,22.497762485283836,-72.80176785455535,-22.497762485283836,107.19823214544465,other
